operacao,tempo_envio,tempo_resposta,tempo_total
echo,0.0,0.194,0.195
soma,0.0,0.203,0.204
status,0.0,0.117,0.118
historico,0.0,0.105,0.105
timestamp,0.0,0.186,0.187
echo,0.0,0.204,0.205
soma,0.0,0.103,0.104
status,0.0,0.109,0.109
historico,0.0,0.107,0.107
timestamp,0.0,0.107,0.107
echo,0.0,0.105,0.105
soma,0.0,0.184,0.184
status,0.0,0.204,0.204
historico,0.0,0.104,0.105
timestamp,0.0,0.202,0.202
echo,0.0,0.104,0.104
soma,0.0,0.103,0.103
status,0.0,0.203,0.203
historico,0.0,0.204,0.205
timestamp,0.0,0.208,0.208
echo,0.0,0.2,0.2
soma,0.0,0.104,0.104
status,0.0,0.202,0.202
historico,0.0,0.204,0.205
timestamp,0.0,0.11,0.11
echo,0.0,0.196,0.197
soma,0.0,0.108,0.108
status,0.0,0.109,0.109
historico,0.0,0.191,0.191
timestamp,0.0,0.205,0.205
echo,0.0,0.205,0.205
soma,0.0,0.204,0.204
status,0.0,0.205,0.205
historico,0.0,0.204,0.204
timestamp,0.0,0.206,0.206
echo,0.0,0.184,0.184
soma,0.0,0.121,0.121
status,0.0,0.205,0.205
historico,0.0,0.183,0.183
timestamp,0.0,0.163,0.163
echo,0.0,0.106,0.106
soma,0.0,0.16,0.16
status,0.0,0.111,0.111
historico,0.0,0.196,0.196
timestamp,0.0,0.104,0.104
echo,0.0,0.104,0.104
soma,0.0,0.2,0.2
status,0.0,0.205,0.206
historico,0.0,0.106,0.106
timestamp,0.0,0.113,0.113
