operacao,tempo_envio,tempo_resposta,tempo_total
echo,0.0,0.104,0.104
soma,0.0,0.184,0.184
status,0.0,0.204,0.204
historico,0.0,0.205,0.205
timestamp,0.0,0.205,0.205
echo,0.0,0.104,0.104
soma,0.0,0.106,0.106
status,0.0,0.11,0.11
historico,0.0,0.106,0.106
timestamp,0.0,0.104,0.104
echo,0.0,0.104,0.104
soma,0.0,0.182,0.182
status,0.0,0.205,0.205
historico,0.0,0.205,0.205
timestamp,0.0,0.204,0.204
echo,0.0,0.206,0.207
soma,0.0,0.105,0.105
status,0.0,0.107,0.107
historico,0.0,0.105,0.105
timestamp,0.0,0.104,0.104
echo,0.0,0.103,0.103
soma,0.0,0.104,0.104
status,0.0,0.105,0.106
historico,0.0,0.184,0.184
timestamp,0.0,0.104,0.104
echo,0.0,0.202,0.203
soma,0.0,0.205,0.205
status,0.0,0.106,0.106
historico,0.0,0.105,0.105
timestamp,0.0,0.198,0.199
echo,0.0,0.206,0.206
soma,0.0,0.205,0.205
status,0.0,0.106,0.107
historico,0.0,0.106,0.106
timestamp,0.0,0.112,0.112
echo,0.0,0.103,0.103
soma,0.0,0.184,0.184
status,0.0,0.205,0.205
historico,0.0,0.205,0.205
timestamp,0.0,0.142,0.142
echo,0.0,0.104,0.105
soma,0.0,0.105,0.105
status,0.0,0.161,0.161
historico,0.0,0.206,0.206
timestamp,0.0,0.104,0.104
echo,0.0,0.201,0.201
soma,0.0,0.204,0.205
status,0.0,0.206,0.206
historico,0.0,0.106,0.106
timestamp,0.0,0.104,0.104
