operacao,tempo_envio,tempo_resposta,tempo_total
echo,0.0,0.197,0.197
soma,0.0,0.205,0.205
status,0.0,0.205,0.205
historico,0.0,0.204,0.204
timestamp,0.0,0.717,0.717
echo,0.0,0.594,0.594
soma,0.0,0.123,0.123
status,0.0,0.17,0.17
historico,0.0,0.136,0.136
timestamp,0.0,0.205,0.205
echo,0.0,0.204,0.204
soma,0.0,0.205,0.205
status,0.0,0.205,0.205
historico,0.0,0.204,0.204
timestamp,0.0,0.205,0.205
echo,0.0,0.205,0.205
soma,0.0,0.204,0.204
status,0.0,0.615,0.615
historico,0.0,0.205,0.205
timestamp,0.0,0.204,0.204
echo,0.0,0.206,0.206
soma,0.0,0.103,0.103
status,0.0,0.205,0.205
historico,0.0,0.204,0.204
timestamp,0.0,0.497,0.497
echo,0.0,0.118,0.118
soma,0.0,0.205,0.205
status,0.0,0.205,0.205
historico,0.0,0.203,0.203
timestamp,0.0,0.512,0.512
echo,0.0,0.204,0.204
soma,0.0,0.206,0.206
status,0.0,0.213,0.213
historico,0.0,0.196,0.196
timestamp,0.0,0.104,0.104
echo,0.0,0.509,0.509
soma,0.0,0.205,0.205
status,0.0,0.486,0.486
historico,0.0,0.129,0.129
timestamp,0.0,0.204,0.204
echo,0.0,0.205,0.205
soma,0.0,0.104,0.104
status,0.0,0.202,0.202
historico,0.0,0.207,0.207
timestamp,0.0,0.863,0.863
echo,0.0,0.559,0.559
soma,0.0,0.105,0.105
status,0.0,0.104,0.104
historico,0.0,0.209,0.209
timestamp,0.0,0.105,0.105
