operacao,tempo_envio,tempo_resposta,tempo_total
echo,0.0,0.106,0.106
soma,0.0,0.187,0.187
status,0.0,0.113,0.113
historico,0.0,0.194,0.194
timestamp,0.0,0.204,0.205
echo,0.0,0.103,0.103
soma,0.0,0.103,0.104
status,0.0,0.182,0.182
historico,0.0,0.108,0.108
timestamp,0.0,0.104,0.104
echo,0.0,0.104,0.104
soma,0.0,0.104,0.105
status,0.0,0.116,0.116
historico,0.0,0.107,0.108
timestamp,0.0,0.104,0.105
echo,0.0,0.189,0.189
soma,0.0,0.105,0.106
status,0.0,0.201,0.201
historico,0.0,0.114,0.114
timestamp,0.0,0.193,0.193
echo,0.0,0.204,0.204
soma,0.0,0.106,0.107
status,0.0,0.202,0.202
historico,0.0,0.202,0.203
timestamp,0.0,0.204,0.204
echo,0.0,0.204,0.204
soma,0.0,0.204,0.204
status,0.0,0.106,0.107
historico,0.0,0.2,0.2
timestamp,0.0,0.204,0.204
echo,0.0,0.204,0.204
soma,0.0,0.204,0.205
status,0.0,0.112,0.112
historico,0.0,0.106,0.106
timestamp,0.0,0.191,0.191
echo,0.0,0.104,0.104
soma,0.0,0.103,0.103
status,0.0,0.202,0.203
historico,0.0,0.204,0.204
timestamp,0.0,0.137,0.137
echo,0.0,0.169,0.169
soma,0.0,0.104,0.104
status,0.0,0.204,0.204
historico,0.0,0.201,0.202
timestamp,0.0,0.103,0.104
echo,0.0,0.103,0.103
soma,0.0,0.203,0.204
status,0.0,0.203,0.204
historico,0.0,0.205,0.205
timestamp,0.0,0.205,0.205
