operacao,tempo_envio,tempo_resposta,tempo_total
echo,0.0,0.103,0.103
soma,,,
status,0.0,0.11,0.11
historico,0.0,0.109,0.109
timestamp,0.0,0.108,0.109
echo,0.0,0.138,0.139
soma,,,
status,0.0,0.205,0.205
historico,0.0,0.205,0.205
timestamp,0.0,0.205,0.205
echo,0.0,0.135,0.135
soma,,,
status,0.0,0.105,0.105
historico,0.0,0.115,0.115
timestamp,0.0,0.145,0.145
echo,0.0,0.104,0.104
soma,,,
status,0.0,0.103,0.103
historico,0.0,0.214,0.214
timestamp,0.0,0.103,0.103
echo,0.0,0.104,0.104
soma,,,
status,0.0,0.104,0.104
historico,0.0,0.106,0.106
timestamp,0.0,0.104,0.104
echo,0.0,0.104,0.104
soma,,,
status,0.0,0.106,0.107
historico,0.0,0.105,0.105
timestamp,0.0,0.173,0.173
echo,0.0,0.106,0.106
soma,,,
status,0.0,0.103,0.103
historico,0.0,0.179,0.18
timestamp,0.0,0.135,0.136
echo,0.0,0.204,0.205
soma,,,
status,0.0,0.104,0.104
historico,0.0,0.441,0.441
timestamp,0.0,0.103,0.104
echo,0.0,0.103,0.103
soma,,,
status,0.0,0.103,0.103
historico,0.0,0.105,0.105
timestamp,0.0,0.165,0.165
echo,0.0,0.204,0.204
soma,,,
status,0.0,0.204,0.205
historico,0.0,0.204,0.205
timestamp,0.0,0.205,0.205
